source_type,source_title,source_url,year_or_volume,subject,question_no,question_type,stem,option_A,option_B,option_C,option_D,correct_answer,explanation,knowledge_tags,options
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,1,unknown,考虑一个 B+ 树，其中每个节点的最大键数为 5。任何非根节点中最小的键数是多少？( ),1,2,3,4,B,"解释：
最大子节点数
：每个节点最多有
5
+
1
=
6
个子节点（键数+1）。
B+ 树性质
：非根节点的最小子节点数为
⌈
2
6
​
⌉
=
3
。
最小键数计算
：子节点数减 1 即为键数，因此最小键数为
3
−
1
=
2
。

class QuizDB{constructor(){this.dbName=""QuizCollectionsDB"",this.storeName=""quizzes"",this.db=null}async init(){return new Promise((e,t)=>{const n=indexedDB.open(this.dbName);n.onerror=()=>t(n.error),n.onsuccess=()=>{this.db=n.result,e(this.db)},n.onupgradeneeded=e=>{const t=e.target.result;if(!t.objectStoreNames.contains(this.storeName)){const e=t.createObjectStore(this.storeName,{keyPath:""id""});e.createIndex(""collectedAt"",""collectedAt"",{unique:!1}),e.createIndex(""tags"",""tags"",{unique:!1,multiEntry:!0})}}})}async add(e){return this.db||await this.init(),new Promise((t,n)=>{const o=this.db.transaction([this.storeName],""readwrite""),i=o.objectStore(this.storeName),s=i.add(e);s.onsuccess=()=>t(s.result),s.onerror=()=>n(s.error)})}async remove(e){return this.db||await this.init(),new Promise((t,n)=>{const o=this.db.transaction([this.storeName],""readwrite""),i=o.objectStore(this.storeName),s=i.delete(e);s.onsuccess=()=>t(s.result),s.onerror=()=>n(s.error)})}async get(e){return this.db||await this.init(),new Promise((t,n)=>{const o=this.db.transaction([this.storeName],""readonly""),i=o.objectStore(this.storeName),s=i.get(e);s.onsuccess=()=>t(s.result),s.onerror=()=>n(s.error)})}async getAll(){return this.db||await this.init(),new Promise((e,t)=>{const s=this.db.transaction([this.storeName],""readonly""),o=s.objectStore(this.storeName),n=o.getAll();n.onsuccess=()=>e(n.result),n.onerror=()=>t(n.error)})}async getAllIds(){return this.db||await this.init(),new Promise((e,t)=>{const s=this.db.transaction([this.storeName],""readonly""),o=s.objectStore(this.storeName),n=o.getAllKeys();n.onsuccess=()=>e(n.result),n.onerror=()=>t(n.error)})}}window.quizDB=new QuizDB;function saveChoiceToLocalStorage(e,t,n=!1){try{const i=window.location.href,s=`quizChoices_${btoa(i)}`;let o=JSON.parse(localStorage.getItem(s)||""{}"");const a=Array.isArray(t)?t.join(""""):t;o[e]={value:a,verified:n,timestamp:Date.now()},localStorage.setItem(s,JSON.stringify(o))}catch(e){console.error(""Error saving choice to localStorage:"",e)}}function getChoiceFromLocalStorage(e){try{const t=window.location.href,n=`quizChoices_${btoa(t)}`,s=JSON.parse(localStorage.getItem(n)||""{}"");return s[e]||null}catch(e){return console.error(""Error getting choice from localStorage:"",e),null}}function clearChoiceFromLocalStorage(e){try{const s=window.location.href,t=`quizChoices_${btoa(s)}`;let n=JSON.parse(localStorage.getItem(t)||""{}"");delete n[e],localStorage.setItem(t,JSON.stringify(n))}catch(e){console.error(""Error clearing choice from localStorage:"",e)}}function restoreChoices(){document.querySelectorAll("".choice-container"").forEach(e=>{const t=e.id.replace(""quiz-"",""""),s=e.dataset.multiple===""true"",n=getChoiceFromLocalStorage(t);if(n&&n.value){const o=n.value,i=e.querySelectorAll(`input[name=""${t}""]`);if(s){const e=o.split("""");i.forEach(t=>{e.includes(t.value)&&(t.checked=!0)})}else{const n=e.querySelector(`input[name=""${t}""][value=""${o}""]`);n&&(n.checked=!0)}if(n.verified){const i=e.dataset.answer,a=e.querySelectorAll(`input[name=""${t}""]`);a.forEach(e=>{e.disabled=!0;let t=e.closest("".choice-option, .choice-option-inline"");if(t){t.style.cursor=""default"";const n=s?i.includes(e.value):e.value===i;n?(t.style.borderColor=""#28a745"",t.style.backgroundColor=""#e6ffed""):e.checked&&(t.style.borderColor=""#dc3545"",t.style.backgroundColor=""#ffebee"")}});const n=document.getElementById(""feedback-""+t);if(n){if(s){const s=Array.from(e.querySelectorAll(`input[name=""${t}""]:checked`)).map(e=>e.value).sort().join(""""),o=i.split("""").sort().join("""");s===o?(n.textContent=""✅ 你答对了！"",n.className=""feedback-area correct""):(n.textContent=`❌ 答错了。正确答案是 ${i.split("""").join("", "")}。请查看解析。`,n.className=""feedback-area incorrect"")}else o===i?(n.textContent=""✅ 你答对了！"",n.className=""feedback-area correct""):(n.textContent=`❌ 答错了。正确答案是 ${i}。请查看解析。`,n.className=""feedback-area incorrect"");n.style.display=""block""}}}})}function checkAndToggleExplanation(e,t,n,s){s=s===""true"";const l=document.getElementById(""quiz-""+t),d=l.querySelectorAll(`input[name=""${t}""]`);let i=[],r=!1;if(s)i=Array.from(d).filter(e=>e.checked).map(e=>e.value).sort(),r=i.length>0;else{const e=l.querySelector(`input[name=""${t}""]:checked`);r=!!e,e&&(i=[e.value])}let a=document.getElementById(""feedback-""+t),c;if(localStorage.getItem(""validateSelection"")===null?c=!1:c=localStorage.getItem(""validateSelection"")===""true"",!r&&c){a&&(a.textContent=""⚠️ 请先选择答案选项！"",a.className=""feedback-area no-selection"",a.style.display=""block"");return}saveChoiceToLocalStorage(t,i,!0),checkAnswer(t,i,n,s);var o=document.getElementById(""explanation-""+t);o&&(o.style.display=o.style.display===""none""||o.style.display===""""?""block"":""none"",e.textContent=o.style.display===""none""||o.style.display===""""?""查看答案与解析"":""隐藏答案与解析"")}function checkAnswer(e,t,n,s){const i=document.getElementById(""quiz-""+e),a=i.querySelectorAll(`input[name=""${e}""]`);let o=document.getElementById(""feedback-""+e);if(a.forEach(e=>{e.disabled=!0;let o=e.closest("".choice-option, .choice-option-inline"");if(o)if(o.style.cursor=""default"",s){const a=n.split(""""),s=a.includes(e.value),i=t.includes(e.value);s&&i?(o.style.borderColor=""#28a745"",o.style.backgroundColor=""#e6ffed""):s&&!i?(o.style.borderColor=""#28a745"",o.style.backgroundColor=""#f0fff4""):!s&&i&&(o.style.borderColor=""#dc3545"",o.style.backgroundColor=""#ffebee"")}else e.value===n?(o.style.borderColor=""#28a745"",o.style.backgroundColor=""#e6ffed""):e.checked&&e.value!==n&&(o.style.borderColor=""#dc3545"",o.style.backgroundColor=""#ffebee"")}),o){if(s){const e=t.sort().join(""""),s=n.split("""").sort().join("""");if(e===s)o.textContent=""✅ 你答对了！"",o.className=""feedback-area correct"";else{const e=n.split(""""),a=t.filter(t=>e.includes(t)),s=t.filter(t=>!e.includes(t)),i=e.filter(e=>!t.includes(e));s.length===0&&i.length>0?(o.textContent=`⚠️ 部分正确。正确答案是 ${n.split("""").join("", "")}。请查看解析。`,o.className=""feedback-area partial""):(o.textContent=`❌ 答错了。正确答案是 ${n.split("""").join("", "")}。请查看解析。`,o.className=""feedback-area incorrect"")}}else t.length>0&&t[0]===n?(o.textContent=""✅ 你答对了！"",o.className=""feedback-area correct""):(o.textContent=`❌ 答错了。正确答案是 ${n}。请查看解析。`,o.className=""feedback-area incorrect"");o.style.display=""block""}}async function collectQuiz(e,t){const n=document.getElementById(""quiz-""+e);if(!n)return;let s=n.previousElementSibling;const l=[];let i="""";for(;s&&s.tagName!==""H5"";)l.unshift(s),s=s.previousElementSibling;s&&s.tagName===""H5""&&(i=s.innerText.trim());const a=l.map(e=>{const t=e.cloneNode(!0);return t.querySelectorAll(""button, script, style"").forEach(e=>e.remove()),t.outerHTML.trim()}).filter(e=>e.length>0),c=n.querySelector("".explanation"");let r="""";c&&(r=c.innerHTML.replace(/<strong>.*?<\/strong><br>/,"""").trim());const d=n.querySelector("".choice-inline .choice-option-inline .choice-text"")!==null;let o=[];if(d){const e=n.querySelectorAll("".choice-option-inline"");o=Array.from(e).map(e=>{const t=e.querySelector("".choice-label"")?.textContent||"""",n=e.querySelector("".choice-text""),s=n?n.innerHTML.trim():"""";return s?`${t} ${s}`:t})}else{const e=n.querySelectorAll("".choice-option .choice-text"");o=Array.from(e).map(e=>e.innerHTML.trim())}if(o.length===0){const e=n.querySelectorAll("".choice-option-inline"");o=Array.from(e).map(e=>{const t=e.querySelector("".choice-label"")?.textContent||"""",n=e.querySelector("".choice-text""),s=n?n.innerHTML.trim():"""";return s?`${t} ${s}`:t})}const u=n.dataset.pageUrl,h=getSubjectFromUrl(u),m=n.dataset.multiple===""true"",f={id:e,quizNumber:i,question:a.length>0?a:[""题目""],questionText:a.map(e=>{const t=document.createElement(""div"");return t.innerHTML=e,t.textContent.trim()}).join(`
`),options:o,answer:n.dataset.answer,explanation:r,tags:n.dataset.tags,subject:h,pageUrl:n.dataset.pageUrl+`/#${i}`,pageTitle:n.dataset.pageTitle+` 第 ${i} 题`,collectedAt:(new Date).toISOString(),multiple:m};try{const n=await window.quizDB.get(e);n?(await window.quizDB.remove(e),t.classList.remove(""collected""),t.innerHTML='<i class=""fa-regular fa-bookmark""></i> 收藏',t.title=""收藏此题"",showNotification(""已取消收藏"")):(await window.quizDB.add(f),t.classList.add(""collected""),t.innerHTML='<i class=""fa-solid fa-bookmark""></i> 已收藏',t.title=""取消收藏"",showNotification(""已添加到收藏""))}catch(e){console.error(""Error managing quiz collection:"",e),showNotification(""操作失败,请重试"")}}function setupChoiceEventListeners(){document.addEventListener(""change"",function(e){if((e.target.type===""radio""||e.target.type===""checkbox"")&&e.target.name.startsWith(""choice-"")){const t=e.target.name,n=document.getElementById(""quiz-""+t),s=n&&n.dataset.multiple===""true"";if(s){const e=Array.from(n.querySelectorAll(`input[name=""${t}""]:checked`)).map(e=>e.value).sort();saveChoiceToLocalStorage(t,e,!1)}else{const n=e.target.value;saveChoiceToLocalStorage(t,n,!1)}}})}if(document.addEventListener(""DOMContentLoaded"",async function(){try{await window.quizDB.init();const e=await window.quizDB.getAllIds();document.querySelectorAll("".collect-btn"").forEach(t=>{const n=t.closest("".choice-container"");n&&e.includes(n.id.replace(""quiz-"",""""))&&(t.classList.add(""collected""),t.innerHTML='<i class=""fa-solid fa-bookmark""></i> 已收藏',t.title=""取消收藏"")}),restoreChoices(),setupChoiceEventListeners()}catch(e){console.error(""Error initializing quiz collections:"",e)}}),!document.getElementById(""quiz-animations"")){const e=document.createElement(""style"");e.id=""quiz-animations"",e.textContent=`
 @keyframes slideIn {
 from {
 transform: translateX(100%);
 opacity: 0;
 }
 to {
 transform: translateX(0);
 opacity: 1;
 }
 }
 @keyframes slideOut {
 from {
 transform: translateX(0);
 opacity: 1;
 }
 to {
 transform: translateX(100%);
 opacity: 0;
 }
 }
 `,document.head.appendChild(e)}typeof window.quizChoiceFlag==""undefined""&&(window.quizChoiceFlag=!0)",B 树,"{""A"": ""1"", ""B"": ""2"", ""C"": ""3"", ""D"": ""4""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,2,unknown,数据库中更倾向于使用 B+ 树而不是二叉树，因为（ ）,磁盘容量大于内存容量,磁盘访问速度远慢于内存访问,磁盘数据传输速率远小于内存数据传输速率,磁盘比内存更可靠,B,"解释：
磁盘访问速度较慢，因此减少 I/O 操作次数至关重要
B+ 树通过高扇出度（通常 100 或更多）显著降低树高度
相比二叉查找树，B+ 树能以更少层级完成查找
高扇出特性使每次磁盘访问能检索更多子节点信息",B 树,"{""A"": ""磁盘容量大于内存容量"", ""B"": ""磁盘访问速度远慢于内存访问"", ""C"": ""磁盘数据传输速率远小于内存数据传输速率"", ""D"": ""磁盘比内存更可靠""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,3,unknown,从空的 4 阶 B 树开始，通过连续插入 10 个元素，最多可能发生多少次节点分裂操作？（ ）,3,4,5,6,C,"插入第 3 个键
初始状态：
10 20 30
插入第 4 个键（第一次分裂）
插入
40
后触发分裂：
30 
 / \ 
10*20 40
插入第 5 个键（无分裂）
插入
5
至左子节点：
30 
 / \ 
5*10*20 40
插入第 6 个键（第二次分裂）
插入
8
触发分裂：
8*30 
 / | \ 
5 10*20 40
插入第 7 个键（无分裂）
插入
15
至右子节点：
8*30 
 / | \ 
5 10*15*20 40
插入第 8 个键（第三次分裂）
插入
12
触发分裂：
8*12*30 
 / / \ \ 
5 10 15*20 40
插入第 9 个键（无分裂）
插入
17
至右子节点：
8*12*30 
 / / \ \ 
5 10 15*17*20 40
插入第 10 个键（第四次和第五次分裂）
插入
13
导致两次分裂：
12 
 / \ 
 8 15*30 
 / \ / | \ 
5 10 13 17*20 40
结论
：最大分裂次数为
5 次
。
关键点
：
4 阶 B 树节点最多容纳 3 个键，满载后插入新键会触发分裂
通过优先向有空间的节点插入，可最大化分裂次数
最终分裂路径包含 5 次节点分裂操作",B 树,"{""A"": ""3"", ""B"": ""4"", ""C"": ""5"", ""D"": ""6""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,4,unknown,"B+ 树中叶节点的阶数是指其最多能容纳的 (value, 数据记录指针) 对的数量。已知磁盘块大小为 1K 字节，数据记录指针长度为 7 字节，值域长度为 9 字节，磁盘块指针长度为 6 字节，问该叶节点的阶数是多少？",63,64,67,68,A,"解析：
磁盘块大小 = 1024 字节
数据记录指针大小
r
=
7
字节
值域大小
V
=
9
字节
磁盘块指针
p
=
6
字节
设叶节点的阶数为
m
。B+ 树的叶节点最多包含
m
个记录指针、
m
个值和一个磁盘块指针。
根据空间约束条件：
r
⋅
m
+
V
⋅
m
+
p
≤
1024
(
7
+
9
)
m
+
6
≤
1024
16
m
+
6
≤
1024
16
m
≤
1018
m
≤
63.625
因此，最大整数
m
=
63
，对应选项
A
。",B 树,"{""A"": ""63"", ""B"": ""64"", ""C"": ""67"", ""D"": ""68""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,5,unknown,要在关系 STUDENT 的 Name 属性上建立一个 B+ 树索引。假设所有学生姓名长度为 8 字节，磁盘块大小为 512 字节，索引指针大小为 4 字节。在这种情况下，B+ 树的最佳阶数（即每个节点的指针数量）应选择什么？,16,42,43,44,C,"单条记录大小：
8
字节
+
4
字节
=
12
字节
设阶数为
N
每个磁盘块存储的索引项数量满足：
(
N
−
1
)
×
12
字节
+
4
字节
≤
512
字节
化简方程：
12
N
−
8
=
512
⟹
12
N
=
520
⟹
N
=
12
520
​
≈
43.33
取整数部分作为最大可行解，故最佳阶数为
43",B 树,"{""A"": ""16"", ""B"": ""42"", ""C"": ""43"", ""D"": ""44""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,6,unknown,考虑一个 B+ 树，其中搜索键长度为 12 字节，块大小为 1024 字节，记录指针长度为 10 字节，块指针长度为 8 字节。该树中每个非叶节点最多可容纳的键数量是（ ）：,49,50,51,52,B,"设 B+ 树的阶数为
m
非叶节点存储结构需满足：
m
×
8
+
(
m
−
1
)
×
12
≤
1024
推导过程：
块指针总占用：
m
×
8
搜索键总占用：
(
m
−
1
)
×
12
总占用不超过块大小 1024 字节
解得：
m
≤
51
由于非叶节点的键数量为
m
−
1
，故最大键数量为 50。",B 树,"{""A"": ""49"", ""B"": ""50"", ""C"": ""51"", ""D"": ""52""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,7,unknown,用于大型数据库表索引的 B 树共有四层（包括根节点）。如果在此索引中插入一个新键，则在此过程中最多可能创建的新节点数为（ ）：,5,4,3,2,A,"节点特性
：一个节点的子节点数量等于其包含的键数加 1。
树高变化
：给定的树有 4 层，若插入一个新键导致树的高度增加一层，则在此过程中最多可能创建的新节点数为 5 个。
当插入新键导致 B 树高度增加时，分裂会从叶子节点开始，逐层向上进行。对于 4 层的 B 树：
叶子节点分裂 → 新增 1 个节点；
第二层节点分裂 → 新增 1 个节点；
第三层节点分裂 → 新增 1 个节点；
根节点分裂 → 新增 2 个节点（原根节点拆分为两个子节点，新增一个根节点）。
总计新增 1 + 1 + 1 + 2 =
5 个新节点
。",B 树,"{""A"": ""5"", ""B"": ""4"", ""C"": ""3"", ""D"": ""2""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,8,unknown,以下关于 B/B+ 树的说法中，哪一项是错误的？（ ）,B/B+ 树向上增长，而二叉搜索树向下增长。,B/B+ 树的查找操作时间复杂度通常优于红黑树。,B/B+ 树节点中的子指针数量始终等于其键的数量加一。,B/B+ 树由一个称为最小度数的参数定义。该最小度数取决于硬盘块大小、键和地址的大小。,B,"两者的渐进时间复杂度都是
O(log n)
级别。
理论分析
：B/B+ 树与红黑树的查找时间复杂度均为 O(log n)，但 B/B+ 树的底数更大（取决于节点容量），因此实际层级更少。
实际表现
：由于 B/B+ 树更适合磁盘 I/O 操作，其常数因子更优，但在内存数据结构中，红黑树的实现效率可能更高。
结论
：选项 B 的表述存在误导性，因为“通常优于”忽略了具体应用场景的差异。",B 树,"{""A"": ""B/B+ 树向上增长，而二叉搜索树向下增长。"", ""B"": ""B/B+ 树的查找操作时间复杂度通常优于红黑树。"", ""C"": ""B/B+ 树节点中的子指针数量始终等于其键的数量加一。"", ""D"": ""B/B+ 树由一个称为最小度数的参数定义。该最小度数取决于硬盘块大小、键和地址的大小。""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,9,unknown,在 B+ 树索引中，内部节点的阶数是指其最多可以拥有的子节点数量。已知每个子指针占用 6 字节，搜索字段值占用 14 字节，块大小为 512 字节。问：该内部节点的阶数是多少？（ ）,24,25,26,27,C,"键值大小 = 14 字节（已知）
子指针 = 6 字节（已知）
计算公式推导
B+ 树内部节点存储结构满足：
块大小
≥
(
n
−
1
)
×
键值大小
+
n
×
子指针大小
代入已知数值：
512
≥
(
n
−
1
)
×
14
+
n
×
6
展开并化简：
512
≥
14
n
−
14
+
6
n
⇒
512
≥
20
n
−
14
20
n
≤
526
⇒
n
≤
20
526
​
=
26.3
结论
由于阶数
n
必须为整数，向下取整后
n
=
26
。因此选项
(C)
正确。
注：B+ 树内部节点的阶数定义为最大子节点数，而非键值对数量。本题通过容量约束反推最大可能的
n
值。",B 树,"{""A"": ""24"", ""B"": ""25"", ""C"": ""26"", ""D"": ""27""}"
exercise,B 树,http://www.csgraduates.com/study_methods/exercise/data_structure/btree/,B 树,,10,unknown,用于大型数据库表索引的 B 树包含根节点在内共有四个层级。若在此索引中插入一个新的键，则在此过程中最多可能新创建的节点数为（ ）,5,4,1,2,A,"解析：
当 B 树需要分裂时，每个层级都可能产生一个新节点。
由于树有四层（根节点到叶节点），最坏情况下每层都会发生一次分裂，因此最多会创建
4 个新节点
。
但根节点分裂时会产生两个子节点，因此总共有
4 + 1 = 5 个新节点
。",B 树,"{""A"": ""5"", ""B"": ""4"", ""C"": ""1"", ""D"": ""2""}"
